,Date,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,labels
0,20171201,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,4,0,1,1
1,20171201,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,4,0,1,1
2,20171201,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,4,0,1,1
3,20171201,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,4,0,1,1
4,20171201,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,4,0,1,1
5,20171201,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,4,0,1,1
6,20171201,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,4,0,1,1
7,20171201,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,4,0,1,1
8,20171201,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,4,0,1,2
9,20171201,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,4,0,1,1
10,20171201,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,4,0,1,1
11,20171201,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,4,0,1,1
12,20171201,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,4,0,1,1
13,20171201,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,4,0,1,1
14,20171201,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,4,0,1,1
15,20171201,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,4,0,1,1
16,20171201,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,4,0,1,1
17,20171201,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,4,0,1,1
18,20171201,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,4,0,1,2
19,20171201,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,4,0,1,1
20,20171201,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,4,0,1,1
21,20171201,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,4,0,1,1
22,20171201,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,4,0,1,1
23,20171201,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,4,0,1,1
24,20171202,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,4,0,1,1
25,20171202,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,4,0,1,1
26,20171202,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,4,0,1,1
27,20171202,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,4,0,1,1
28,20171202,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,4,0,1,1
29,20171202,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,4,0,1,1
30,20171202,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,4,0,1,1
31,20171202,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,4,0,1,1
32,20171202,8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,4,0,1,1
33,20171202,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,4,0,1,1
34,20171202,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,4,0,1,1
35,20171202,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,4,0,1,1
36,20171202,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,4,0,1,1
37,20171202,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,4,0,1,1
38,20171202,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,4,0,1,1
39,20171202,15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,4,0,1,1
40,20171202,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,4,0,1,1
41,20171202,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,4,0,1,1
42,20171202,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,4,0,1,1
43,20171202,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,4,0,1,1
44,20171202,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,4,0,1,1
45,20171202,21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,4,0,1,1
46,20171202,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,4,0,1,1
47,20171202,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,4,0,1,1
48,20171203,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,4,0,1,1
49,20171203,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,4,0,1,1
50,20171203,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,4,0,1,1
51,20171203,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,4,0,1,1
52,20171203,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,4,0,1,1
53,20171203,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,4,0,1,1
54,20171203,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,4,0,1,1
55,20171203,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,4,0,1,1
56,20171203,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,4,0,1,1
57,20171203,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,4,0,1,1
58,20171203,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,4,0,1,1
59,20171203,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,4,0,1,1
60,20171203,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,4,0,1,1
61,20171203,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,4,0,1,1
62,20171203,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,4,0,1,1
63,20171203,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,4,0,1,1
64,20171203,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,4,0,1,1
65,20171203,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,4,0,1,1
66,20171203,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,4,0,1,1
67,20171203,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,4,0,1,1
68,20171203,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,4,0,1,1
69,20171203,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,4,0,1,1
70,20171203,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,4,0,1,1
71,20171203,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,4,0,1,1
72,20171204,0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,4,0,1,1
73,20171204,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,4,0,1,1
74,20171204,2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,4,0,1,1
75,20171204,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,4,0,1,1
